,Unnamed: 0,text
0,0,by sir arthur conan doyle
1,1, in our series by sir arthur conan doyle
2,2,copyright laws are changing all over the world be sure to check the
3,3,copyright laws for your country before downloading or redistributing
4,4,this or any other project gutenberg ebook
5,5,this header should be the first thing seen when viewing this project
6,6,gutenberg file  please do not remove it  do not change or edit the
7,7,header without written permission
8,8,seven i answered
9,9,indeed i should have thought a little more just a trifle more i fancy watson and in practice again i observe you did not tell me that you intended to go into harness
10,10,then how do you know
11,11,i see it i deduce it how do i know that you have been getting yourself very wet lately and that you have a most clumsy and careless servant girl
12,12,frequently
13,13,how often
14,14,well some hundreds of times
15,15,then how many are there
16,16,how many i dont know
17,17,"this is indeed a mystery i remarked ""what do you imagine that it means"""
18,18,i have no data yet it is a capital mistake to theorise before one has data insensibly one begins to twist facts to suit theories instead of theories to suit facts but the note itself what do you deduce from it
19,19,"peculiarthat is the very word said holmes ""it is not an english paper at all hold it up to the light"""
20,20,what do you make of that asked holmes
21,21,the name of the maker no doubt or his monogram rather
22,22,the paper was made in bohemia i said
23,23,precisely and the man who wrote the note is a german do you note the peculiar construction of the sentencethis account of you we have from all quarters received a frenchman or russian could not have written that it is the german who is so uncourteous to his verbs it only remains therefore to discover what is wanted by this german who writes upon bohemian paper and prefers wearing a mask to showing his face and here he comes if i am not mistaken to resolve all our doubts
24,24,i think that i had better go holmes
25,25,not a bit doctor stay where you are i am lost without my boswell and this promises to be interesting it would be a pity to miss it
26,26,but your client
27,27,never mind him i may want your help and so may he here he comes sit down in that armchair doctor and give us your best attention
28,28,come in said holmes
29,29,you may address me as the count von kramm a bohemian nobleman i understand that this gentleman your friend is a man of honour and discretion whom i may trust with a matter of the most extreme importance if not i should much prefer to communicate with you alone
30,30,i promise said holmes
31,31,and i
32,32,i was aware of it said holmes dryly
33,33,the circumstances are of great delicacy and every precaution has to be taken to quench what might grow to be an immense scandal and seriously compromise one of the reigning families of europe to speak plainly the matter implicates the great house of ormstein hereditary kings of bohemia
34,34,the facts are briefly these some five years ago during a lengthy visit to warsaw i made the acquaintance of the wellknown adventuress irene adler the name is no doubt familiar to you
35,35,precisely so but how
36,36,was there a secret marriage
37,37,none
38,38,no legal papers or certificates
39,39,none
40,40,then i fail to follow your majesty if this young person should produce her letters for blackmailing or other purposes how is she to prove their authenticity
41,41,there is the writing
42,42,pooh pooh forgery
43,43,my private notepaper
44,44,stolen
45,45,my own seal
46,46,imitated
47,47,my photograph
48,48,bought
49,49,we were both in the photograph
50,50,oh dear that is very bad your majesty has indeed committed an indiscretion
51,51,i was madinsane
52,52,you have compromised yourself seriously
53,53,i was only crown prince then i was young i am but thirty now
54,54,it must be recovered
55,55,we have tried and failed
56,56,your majesty must pay it must be bought
57,57,she will not sell
58,58,stolen then
59,59,five attempts have been made twice burglars in my pay ransacked her house once we diverted her luggage when she travelled twice she has been waylaid there has been no result
60,60,no sign of it
61,61,absolutely none
62,62,to ruin me
63,63,but how
64,64,i am about to be married
65,65,so i have heard
66,66,to clotilde lothman von saxemeningen second daughter of the king of scandinavia you may know the strict principles of her family she is herself the very soul of delicacy a shadow of a doubt as to my conduct would bring the matter to an end
67,67,and irene adler
68,68,threatens to send them the photograph and she will do it i know that she will do it you do not know her but she has a soul of steel she has the face of the most beautiful of women and the mind of the most resolute of men rather than i should marry another woman there are no lengths to which she would not gonone
69,69,you are sure that she has not sent it yet
70,70,i am sure
71,71,and why
72,72,because she has said that she would send it on the day when the betrothal was publicly proclaimed that will be next monday
73,73,certainly you will find me at the langham under the name of the count von kramm
74,74,then i shall drop you a line to let you know how we progress
75,75,pray do so i shall be all anxiety
76,76,then as to money
77,77,you have carte blanche
78,78,absolutely
79,79,i tell you that i would give one of the provinces of my kingdom to have that photograph
80,80,and for present expenses
81,81,the king took a heavy chamois leather bag from under his cloak and laid it on the table
82,82,there are three hundred pounds in gold and seven hundred in notes he said
83,83,holmes scribbled a receipt upon a sheet of his notebook and handed it to him
84,84,and mademoiselles address he asked
85,85,is briony lodge serpentine avenue st johns wood
86,86,it was
87,87,ii
88,88,what is it
89,89,its quite too funny i am sure you could never guess how i employed my morning or what i ended by doing
90,90,i cant imagine i suppose that you have been watching the habits and perhaps the house of miss irene adler
91,91,and what of irene adler i asked
92,92,i am following you closely i answered
93,93," thank god he cried youll do come come

 what then i asked"
94,94,"this is a very unexpected turn of affairs said i ""and what then"""
95,95,well i found my plans very seriously menaced it looked as if the pair might take an immediate departure and so necessitate very prompt and energetic measures on my part at the church door however they separated he driving back to the temple and she to her own house i shall drive out in the park at five as usual she said as she left him i heard no more they drove away in different directions and i went off to make my own arrangements
96,96,which are
97,97,i shall be delighted
98,98,you dont mind breaking the law
99,99,not in the least
100,100,nor running a chance of arrest
101,101,not in a good cause
102,102,oh the cause is excellent
103,103,then i am your man
104,104,i was sure that i might rely on you
105,105,but what is it you wish
106,106,and what then
107,107,you must leave that to me i have already arranged what is to occur there is only one point on which i must insist you must not interfere come what may you understand
108,108,i am to be neutral
109,109,to do nothing whatever there will probably be some small unpleasantness do not join in it it will end in my being conveyed into the house four or five minutes afterwards the sittingroom window will open you are to station yourself close to that open window
110,110,yes
111,111,you are to watch me for i will be visible to you
112,112,yes
113,113,and when i raise my handsoyou will throw into the room what i give you to throw and will at the same time raise the cry of fire you quite follow me
114,114,entirely
115,115,i am to remain neutral to get near the window to watch you and at the signal to throw in this object then to raise the cry of fire and to wait you at the corner of the street
116,116,precisely
117,117,then you may entirely rely on me
118,118,that is excellent i think perhaps it is almost time that i prepare for the new role i have to play
119,119,where indeed
120,120,it is most unlikely that she carries it about with her it is cabinet size too large for easy concealment about a womans dress she knows that the king is capable of having her waylaid and searched two attempts of the sort have already been made we may take it then that she does not carry it about with her
121,121,where then
122,122,her banker or her lawyer there is that double possibility but i am inclined to think neither women are naturally secretive and they like to do their own secreting why should she hand it over to anyone else she could trust her own guardianship but she could not tell what indirect or political influence might be brought to bear upon a business man besides remember that she had resolved to use it within a few days it must be where she can lay her hands upon it it must be in her own house
123,123,but it has twice been burgled
124,124,pshaw they did not know how to look
125,125,but how will you look
126,126,i will not look
127,127,what then
128,128,i will get her to show me
129,129,but she will refuse
130,130,she will not be able to but i hear the rumble of wheels it is her carriage now carry out my orders to the letter
131,131,is the poor gentleman much hurt she asked
132,132,he is dead cried several voices
133,133,"no no theres life in him shouted another ""but hell be gone before you can get him to hospital"""
134,134,he cant lie in the street may we bring him in marm
135,135,surely bring him into the sittingroom there is a comfortable sofa this way please
136,136,"you did it very nicely doctor he remarked ""nothing could have been better it is all right"""
137,137,you have the photograph
138,138,i know where it is
139,139,and how did you find out
140,140,she showed me as i told you she would
141,141,i am still in the dark
142,142,i guessed as much
143,143,then when the row broke out i had a little moist red paint in the palm of my hand i rushed forward fell down clapped my hand to my face and became a piteous spectacle it is an old trick
144,144,that also i could fathom
145,145,then they carried me in she was bound to have me in what else could she do and into her sittingroom which was the very room which i suspected it lay between that and her bedroom and i was determined to see which they laid me on a couch i motioned for air they were compelled to open the window and you had your chance
146,146,how did that help you
147,147,it was allimportant when a woman thinks that her house is on fire her instinct is at once to rush to the thing which she values most it is a perfectly overpowering impulse and i have more than once taken advantage of it in the case of the darlington substitution scandal it was of use to me and also in the arnsworth castle business a married woman grabs at her baby an unmarried one reaches for her jewelbox now it was clear to me that our lady of today had nothing in the house more precious to her than what we are in quest of she would rush to secure it the alarm of fire was admirably done the smoke and shouting were enough to shake nerves of steel she responded beautifully the photograph is in a recess behind a sliding panel just above the right bellpull she was there in an instant and i caught a glimpse of it as she half drew it out when i cried out that it was a false alarm she replaced it glanced at the rocket rushed from the room and i have not seen her since i rose and making my excuses escaped from the house i hesitated whether to attempt to secure the photograph at once but the coachman had come in and as he was watching me narrowly it seemed safer to wait a little overprecipitance may ruin all
148,148,and now i asked
149,149,our quest is practically finished i shall call with the king tomorrow and with you if you care to come with us we will be shown into the sittingroom to wait for the lady but it is probable that when she comes she may find neither us nor the photograph it might be a satisfaction to his majesty to regain it with his own hands
150,150,and when will you call
151,151,at eight in the morning she will not be up so that we shall have a clear field besides we must be prompt for this marriage may mean a complete change in her life and habits i must wire to the king without delay
152,152,we had reached baker street and had stopped at the door he was searching his pockets for the key when someone passing said
153,153,goodnight mister sherlock holmes
154,154,iii
155,155,not yet
156,156,but you have hopes
157,157,i have hopes
158,158,then come i am all impatience to be gone
159,159,we must have a cab
160,160,no my brougham is waiting
161,161,then that will simplify matters we descended and started off once more for briony lodge
162,162,irene adler is married remarked holmes
163,163,married when
164,164,yesterday
165,165,but to whom
166,166,to an english lawyer named norton
167,167,but she could not love him
168,168,i am in hopes that she does
169,169,and why in hopes
170,170,because it would spare your majesty all fear of future annoyance if the lady loves her husband she does not love your majesty if she does not love your majesty there is no reason why she should interfere with your majestys plan
171,171,mr sherlock holmes i believe said she
172,172,indeed my mistress told me that you were likely to call she left this morning with her husband by the  train from charing cross for the continent
173,173,never to return
174,174,"and the papers asked the king hoarsely ""all is lost"""
175,175,irene norton nee adler
176,176,"from what i have seen of the lady she seems indeed to be on a very different level to your majesty said holmes coldly ""i am sorry that i have not been able to bring your majestys business to a more successful conclusion"""
177,177,"on the contrary my dear sir cried the king ""nothing could be more successful i know that her word is inviolate the photograph is now as safe as if it were in the fire"""
178,178,i am glad to hear your majesty say so
179,179,i am immensely indebted to you pray tell me in what way i can reward you this ring he slipped an emerald snake ring from his finger and held it out upon the palm of his hand
180,180,your majesty has something which i should value even more highly said holmes
181,181,you have but to name it
182,182,this photograph
183,183,the king stared at him in amazement
184,184,adventure  ii  the redheaded league
185,185,you could not possibly have come at a better time my dear watson he said cordially
186,186,i was afraid that you were engaged
187,187,so i am very much so
188,188,then i can wait in the next room
189,189,not at all this gentleman mr wilson has been my partner and helper in many of my most successful cases and i have no doubt that he will be of the utmost use to me in yours also
